Unnamed: 0,review,label
5504,아침|은|좀|훈훈|하|고|즐거워야|하|는데|이|드라마|는|보|면|오전|은|기분|이|안|좋|음,0
5307,지루|하|다|~~~|아|!|!,0
1684,다섯|개,1
2441,아키라|죽|었|나|보|다|.|.|외화|벌|이|때|매|아키라|사칭|해서|작품|내|는|거|아녀|?,0
0,해운대|에서|나오|는|주인공|들|이|나와서|더더욱|재|밋|엇다,1
3712,"훌륭|한|영화|입니다|.|소방관|들|정말|존경|스럽|군요|이|세상|엔|음모론|에|관련|된|정치인|,|권력|층|등|사회|의|악마|만|있|는|것|이|아니|라|소방관|들|같|은|천사|들|도|있|다는|것|을|절실히|느꼈|습니다|.",1
5093,신선|할|수|도|있|었|는데,0
6708,왠만|해선|평점|등록|안|하|는데|이|영화|는|하|게|만드|네|이걸|5|점|까지|올린|인간|들|은|눈|이|없|나|보|다|.|..,0
4512,"아이|들|은|좋|아|했으나|,|무슨|내용|인지|.|.",0
6078,내생|에|몇|손가락|안|에|드|는|영화,1
9123,섹스|장면|이|있|어도|12|세|관람|가|가|될|수|있|구나|.|..,0
2519,이정재|의|연기|는|가히|최고|라|할|수|있|다,1
1478,레전드|말|이|필요|없|다|우리|나|란|이런|거|없|나,1
9550,트레져|헌터|영화|라이|만|이건|아니|잖아|!,0
5565,재미|있|어요|.,1
2158,그냥|조용히|사세요|.|..,0
5593,넘|행복|한|곳|으로|표현|했|다|글고|굶|어|죽|는|애|들|이|한|둘|이|아닌데|애|하나|신경|쓸|일|있|을까|?,0
441,그녀|를|어떻게|찾|죠|?|찾|기|쉬울|거|요|.|당신|옆|에|있|으니|.|.|이|장면|에서|개|소름,1
4568,"촌|스|럽|고|진부|하|다고|무작정|까대|지|마|라|.|처음|나왔|을|땐|오우|삼|감독|,|음악|에|한스짐머|그|당시|최고|주가|였|던|림프|비즈킷|까지|나름|최고|의|영화|였|다|.|유행|에|집착|하|는|몇몇|의|생각|없|는|의견|에|휘둘리|지|마|라|.",1
9745,자존|감|이|낮|아|져|가|는|애완견|을|보|니|마음|이|불편|했|다,1
5498,솔|찍히|8|점|대|후반|나와야|되|는|영화|아님|?|??|순서|대로|보|고|있|는데|이영회|가|제일|재밌|는데|?|?,1
4283,완벽|한|형태|를|가진|완벽|한|날카로움|을|가진|형|이|상학|적|가시|로|찔린|기분|이|다|.|무지각|적|순수|가|얼마나|무서운지|공기|까지|전해진다|.,1
805,중반|까진|음산|하|게|잘|이끌|어|가|다가|뻔한|헐리|웃|패턴|밟|으면서|자진|쓰레기|통행|.|..|그때|당시|엔|괜찮|았|을지|몰라도|지금|보|기|엔|영|.|..|차라리|2|가|더|낫|다,0
6753,진짜|내|어릴|적|맘속|에|남|아|잊혀|지|지|가|않|아서|한|7|년|인가|후|에|다시|다운|받|아|봣다,1
5137,"결국|모든|건|휴대|전화|요금|을|많이|받|으려는|휴대폰|회사|의|계략|이|었|다니|.|..|는|농담|이|고|,|어쨌든|이해|하|기|힘들|고|어이없|으며|무엇|보다|전혀|무섭|지|가|않|고|오직|시간|낭비|일|뿐|.",0
4775,특별히|다른|말|이|필요|없|음,1
5839,재밌|다|!,1
3004,진짜|이런|영화|는|역대|상상|도|못|해|봤|고|앞|으로|도|안|나올|.|.|내|인생|최고|의|쓰레기|영화|.|.|무슨|정신병|가진|사상|과|이해|를|전혀|할|수|없|는|난해|한|영화|그런데|평점|은|왜|이리|높|은지|이해|불가,0
8954,잠시|도|눈|을|떼|지|못하|게|만드|는|재미|와|훈훈|함|.|.|That|;|s|the|way|the|cookie|crumbles|.|.,1
3690,유진|이|이뻐서|2|개|헤|헷,0
4419,차분|하|니|좋|은|영화|네요|.|..|우리|네|인생|길|이|.|..|참|거시기|합니다|!|!!,1
5490,이|영화|를|조금|봤|는데|이것|이|현실|이|라는|사실|이|너무|안|타|까|웟|습니다|.,1
6205,"깊|은|여운|을|남긴|영화|.|3|시간|이|라지만|그만큼|길|게|느껴|지|지|않|았|어요|.|매초|마다|한|폭|의|그림|같|은|장면|이|펼쳐지|고|중국|과|한|여자|의|파란만장|한|인생|을|담|은|드라마|!|!|단|,|등장인물|이|많|은|편|이|라|각|캐릭터|의|진정|한|속마음|을|알|수|없|었|다는|게|흠|이|라면|흠",1
3707,재밌|게|봤었|는데|사람|들|왤케|평|이|나쁘|지|.|.|설마|지금|시대|영화|들|이랑|비교|하|나,1
8827,잼|나요|.|.....,1
2731,멋있|었|다|.|감탄|하|고|갑니다|.,1
4485,이건|뭐|.|.|오리지널|B|급|영화|로|딱|이|다|!|두|시간|동안|낄낄대|고|헛웃음|이|나오|게|하|는|.|..,0
395,합작|영화|치|고|준수|한|명작|.|물론|혼란|한|존재감|앞|에|관객|들|이|방황|하|는|것|역시|재미|의|한|부분|일|듯|함|.|무엇|보다|언어|적|으로|어색|한|점|이|크|게|없|어서|몰입|이|더|됨|.,1
782,다영|언니|불쌍|해|.|.|언니|언니|가|죽|는|날|.|..|언니|엄마|를|만날|수|있|을|거|예요|.|.,1
8890,벨|도|너무|예쁘|고|디즈니|작품|들|중|에서|ost|는|가장|좋|은|듯|해요|개인|적|으로|라이온|킹|보다|더|좋|네요|ㅋㅋ,1
8930,0|점|이|없|어서|1|점|준다|.|.,0
1337,다소|길|지만|지루함|이|없이|위트|있|는|전개|!,1
542,정말|낭만|적|이|었|습니다|.|20|대녀|지만|좋|았|습니다|~|ㅎ,1
2862,완전|별로|다|.|.|자칭|성장|영화|라면서|어쩜|이렇게|화면|속|엔|아무것|도|없|을까,0
