id,document,label
5423517,화려한 영상 재밌는 음악때문에 젤 좋아하는 영화가 됐음,1
8877056,"전혀긴장감없고 연기는 어설프고,,엉성하게 따라하다 끝난기분,, 배우가 아깝다.",0
8191215,이미 많이 본듯한 소재 마스터즈 오브 호러에도 비슷한 애피가 있었지 공포소재라 잔인한게 있긴 했지만,0
10056843,OST부터 스토리 그리고 영상미까지 다 좋다,1
6208328,이걸 왜봤짘ㅋㅋ 도라에몽 극장판 재밌다고하는사람들 정말 이해가 않되ㅋㅋㅋ,0
4784148,나쁜이 아니라 불량한 쓰레기 영화일뿐이다,0
8501010,엑소짱짱맨완젼 귀여밍ㅎ엑소는 진짜 예능프로그램에 나가도 될듯?ㅎ이프로그램에서새로운모습을 많이본것같넹ㅎ아무튼!!더열심이활동하시길.,1
9554732,넌 끝장이다 터미네이터!,1
7876368,쩝...,0
9704246,진부한 스토리지만 못난 수컷을 절절하게 표현한 임창정 신들린 연기에 9점!!,1
10051606,처음으로 영화를 보며 공감의 눈물을 흘렸다,1
9822982,점수가 영화에 비해 너무 낮아서 별 좀 주고 감. 순수의 시대랑 비슷한 평점이던데 비교가 안 된다. 청불 사극 중 베스트에 드는 영화.,1
4410520,에이브릴 라빈에 낚였눼 ㅋ,0
6887996,"안 잤어, 난 안 잤다구!! 와하하",0
436546,보다가 지루해서...30분보면 끝이 다보이는영화,0
8165557,괜찬은 영화라 생각하고 보면 오산입니다. 낚였다....,1
8189086,밑도 끝도 없네... 3류가 그렇듯 스토리 부재...,0
9289180,배우 연기좋고 음악 좋고 영화는 쓰레기다. 기분만 더럽고 허무한 엔딩으로 메세지가 없다.,0
9341201,내가 티비를 보며 왜 이렇게 불쾌해야하나 이해조차 안가던 혐오스러운 절도 6화. 4회부터 망시즌 느낌이 올때 걍 때려쳤어야 되는데 뭐하러 두번을 더 봐서 발암했을까 ㅜㅜ,0
7162524,재미있었어요. 학원에서 보았는데 즐거웠어요!,1
10102166,감동적이고 좋은 영환데 평점이너무낮아서 평점입력중,1
4916398,말이 필요없네요,1
2056963,재미없어,0
10124637,감독이 얼마나 중요한가를 보여주는 영화...장르를 바꿔버린 대단한 능력..,0
9431078,훈훈한만남. . .가슴따듯ㅈ해짐,1
9582419,공포영화 잘보는데 이건 무서웠다고 드립치지마라.. 그건 그냥 못보는 거다. 여튼 정의는 승★리★한★다 ㅋㅋㅋㅋ 주인공이 못돼처먹어서 전혀 이입이 안됐지만 통쾌한 맛은 있으므로 제 점수는요...,0
9718024,참 편해고 촣습니다…쵸고~~~,1
9647509,소시민한테는 정부가 괴물이 아닐까?,1
10122493,마초를 위한 마초b급 영하,0
8679363,화끈한 액션신이 어색하지 않고 정말 최고~,1
7750892,진짜 존나웃겨디짐,0
10017080,ㅎㅎㅎ김태희는얼굴말곤볼꺼없는듯...연기에내세우지말길..영화가이래저래별로이다...,0
4048417,진정한 자유교육에 대해 생각해 보게 하였다. 정말 감동,1
6244785,골든 라즈베리 상을 괜히 받은게 아냐 정말 부담스럽고 짜증만 잔뜩 유발하는 영화,0
10214686,자연은 어머니만큼 위대하다.,1
